Year,Category,Nominee,Additional Info,Won?
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To DR. PETER HILLMAN for the long-term development and continued advancement of innovative; robust and complete toolsets for deep compositing. Dr. Hillman's ongoing contributions to standardized techniques and a common deep image file format have enabled advanced compositing workflows across the digital filmmaking industry. [Digital Imaging Technology],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To COLIN DONCASTER; JOHANNES SAAM; AREITO ECHEVARRIA; JANNE KONTKANEN and CHRIS COOPER for the development; prototyping and promotion of technologies and workflows for deep compositing. Their contributions include early advancements in key deep compositing features such as layer and holdout-order independence; spatial and intra-element color correction; post-render depth of field; and precise blending of complex layer edges. [Digital Imaging Technology],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To THOMAS LOKOVIC and ERIC VEACH for their influential research and publication of the fundamental concepts of deep shadowing technology. Providing a functional and efficient model for the storage of deep opacity information; this technology was widely adopted as the foundation of early deep compositing pipelines. [Digital Imaging Technology],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To GIFFORD HOOPER and PHILIP GEORGE of HoverCam for the continuing development of the Helicam miniature helicopter camera system. The current Helicam system is a high-speed; extremely maneuverable; turbine-engine; radio-controlled miniature helicopter that supports professional film and digital cinema cameras. Helicam provides a wide range of stabilized; remotely operated pan; tilt and roll capabilities; achieving shots impossible for full-size helicopters. [Photography],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To JOHN FRAZIER; CHUCK GASPAR and CLAY PINNEY for the design and development of the Pneumatic Car Flipper. This self-contained high-pressure pneumatic device safely launches a stationary full-sized car on a predetermined trajectory. The precision of operation enhances the safety of performers; and the physical design allows a rapid setup and strike. [Stage Operations],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To JOSHUA PINES; DAVID REISNER; LOU LEVINSON; CURTIS CLARK; ASC; and DAVID REGISTER for the development of the American Society of Cinematographers Color Decision List technology. The ASC CDL unifies color correction principles for use on- and off-set; providing for the faithful reproduction of color values across a variety of color correction devices. This technology provides basic image-processing mathematics that translate the lift; gamma and gain settings to a set of common color values to help preserve the cinematographer's intent throughout production. [Systems],NA,yes
2013 (86th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To JEREMY SELAN for the development of the OpenColorIO color management framework. OpenColorIO; developed at Sony Pictures Imageworks; is an open source framework that enables consistent color visualization of motion picture imagery across multiple facilities and numerous software applications. [Digital Imaging Technology],NA,yes
2013 (86th),JOHN A. BONNER MEDAL OF COMMENDATION,To Charles "Tad" Marburg in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.,NA,yes
2014 (87th),ACTOR IN A LEADING ROLE,Steve Carell,Foxcatcher {"John du Pont"},no
2014 (87th),ACTOR IN A LEADING ROLE,Bradley Cooper,American Sniper {"Chris Kyle"},no
2014 (87th),ACTOR IN A LEADING ROLE,Benedict Cumberbatch,The Imitation Game {"Alan Turing"},no
2014 (87th),ACTOR IN A LEADING ROLE,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance) {"Riggan"},no
2014 (87th),ACTOR IN A LEADING ROLE,Eddie Redmayne,The Theory of Everything {"Stephen Hawking"},yes
2014 (87th),ACTOR IN A SUPPORTING ROLE,Robert Duvall,The Judge {"Joseph Palmer"},no
2014 (87th),ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Boyhood {"Dad"},no
2014 (87th),ACTOR IN A SUPPORTING ROLE,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance) {"Mike"},no
2014 (87th),ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,Foxcatcher {"David Schultz"},no
2014 (87th),ACTOR IN A SUPPORTING ROLE,J.K. Simmons,Whiplash {"Fletcher"},yes
2014 (87th),ACTRESS IN A LEADING ROLE,Marion Cotillard,Two Days; One Night {"Sandra"},no
2014 (87th),ACTRESS IN A LEADING ROLE,Felicity Jones,The Theory of Everything {"Jane Hawking"},no
2014 (87th),ACTRESS IN A LEADING ROLE,Julianne Moore,Still Alice {"Alice Howland"},yes
2014 (87th),ACTRESS IN A LEADING ROLE,Rosamund Pike,Gone Girl {"Amy Dunne"},no
2014 (87th),ACTRESS IN A LEADING ROLE,Reese Witherspoon,Wild {"Cheryl"},no
2014 (87th),ACTRESS IN A SUPPORTING ROLE,Patricia Arquette,Boyhood {"Mom"},yes
2014 (87th),ACTRESS IN A SUPPORTING ROLE,Laura Dern,Wild {"Bobbi"},no
2014 (87th),ACTRESS IN A SUPPORTING ROLE,Keira Knightley,The Imitation Game {"Joan Clarke"},no
2014 (87th),ACTRESS IN A SUPPORTING ROLE,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) {"Sam"},no
2014 (87th),ACTRESS IN A SUPPORTING ROLE,Meryl Streep,Into the Woods {"Witch"},no
2014 (87th),ANIMATED FEATURE FILM,Big Hero 6,Don Hall; Chris Williams and Roy Conli,yes
2014 (87th),ANIMATED FEATURE FILM,The Boxtrolls,Anthony Stacchi; Graham Annable and Travis Knight,no
2014 (87th),ANIMATED FEATURE FILM,How to Train Your Dragon 2,Dean DeBlois and Bonnie Arnold,no
2014 (87th),ANIMATED FEATURE FILM,Song of the Sea,Tomm Moore and Paul Young,no
2014 (87th),ANIMATED FEATURE FILM,The Tale of the Princess Kaguya,Isao Takahata and Yoshiaki Nishimura,no
2014 (87th),CINEMATOGRAPHY,Birdman or (The Unexpected Virtue of Ignorance),Emmanuel Lubezki,yes
2014 (87th),CINEMATOGRAPHY,The Grand Budapest Hotel,Robert Yeoman,no
2014 (87th),CINEMATOGRAPHY,Ida,Lukasz Zal and Ryszard Lenczewski,no
2014 (87th),CINEMATOGRAPHY,Mr. Turner,Dick Pope,no
2014 (87th),CINEMATOGRAPHY,Unbroken,Roger Deakins,no
2014 (87th),COSTUME DESIGN,The Grand Budapest Hotel,Milena Canonero,yes
2014 (87th),COSTUME DESIGN,Inherent Vice,Mark Bridges,no
2014 (87th),COSTUME DESIGN,Into the Woods,Colleen Atwood,no
2014 (87th),COSTUME DESIGN,Maleficent,Anna B. Sheppard,no
2014 (87th),COSTUME DESIGN,Mr. Turner,Jacqueline Durran,no
2014 (87th),DIRECTING,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu,yes
2014 (87th),DIRECTING,Boyhood,Richard Linklater,no
2014 (87th),DIRECTING,Foxcatcher,Bennett Miller,no
2014 (87th),DIRECTING,The Grand Budapest Hotel,Wes Anderson,no
2014 (87th),DIRECTING,The Imitation Game,Morten Tyldum,no
2014 (87th),DOCUMENTARY (Feature),CitizenFour,Laura Poitras; Mathilde Bonnefoy and Dirk Wilutzky,yes
2014 (87th),DOCUMENTARY (Feature),Finding Vivian Maier,John Maloof and Charlie Siskel,no
2014 (87th),DOCUMENTARY (Feature),Last Days in Vietnam,Rory Kennedy and Keven McAlester,no
2014 (87th),DOCUMENTARY (Feature),The Salt of the Earth,Wim Wenders; Juliano Ribeiro Salgado and David Rosier,no
2014 (87th),DOCUMENTARY (Feature),Virunga,Orlando von Einsiedel and Joanna Natasegara,no
2014 (87th),DOCUMENTARY (Short Subject),Crisis Hotline: Veterans Press 1,Ellen Goosenberg Kent and Dana Perry,yes
2014 (87th),DOCUMENTARY (Short Subject),Joanna,Aneta Kopacz,no
2014 (87th),DOCUMENTARY (Short Subject),Our Curse,Tomasz Sliwinski and Maciej Slesicki,no
2014 (87th),DOCUMENTARY (Short Subject),The Reaper (La Parka),Gabriel Serra Arguello,no
2014 (87th),DOCUMENTARY (Short Subject),White Earth,J. Christian Jensen,no
2014 (87th),FILM EDITING,American Sniper,Joel Cox and Gary D. Roach,no
2014 (87th),FILM EDITING,Boyhood,Sandra Adair,no
2014 (87th),FILM EDITING,The Grand Budapest Hotel,Barney Pilling,no
2014 (87th),FILM EDITING,The Imitation Game,William Goldenberg,no
2014 (87th),FILM EDITING,Whiplash,Tom Cross,yes
2014 (87th),FOREIGN LANGUAGE FILM,Ida,Poland,yes
2014 (87th),FOREIGN LANGUAGE FILM,Leviathan,Russia,no
2014 (87th),FOREIGN LANGUAGE FILM,Tangerines,Estonia,no
2014 (87th),FOREIGN LANGUAGE FILM,Timbuktu,Mauritania,no
2014 (87th),FOREIGN LANGUAGE FILM,Wild Tales,Argentina,no
2014 (87th),MAKEUP AND HAIRSTYLING,Foxcatcher,Bill Corso and Dennis Liddiard,no
2014 (87th),MAKEUP AND HAIRSTYLING,The Grand Budapest Hotel,Frances Hannon and Mark Coulier,yes
2014 (87th),MAKEUP AND HAIRSTYLING,Guardians of the Galaxy,Elizabeth Yianni-Georgiou and David White,no
2014 (87th),MUSIC (Original Score),The Grand Budapest Hotel,Alexandre Desplat,yes
2014 (87th),MUSIC (Original Score),The Imitation Game,Alexandre Desplat,no
2014 (87th),MUSIC (Original Score),Interstellar,Hans Zimmer,no
2014 (87th),MUSIC (Original Score),Mr. Turner,Gary Yershon,no
2014 (87th),MUSIC (Original Score),The Theory of Everything,Jóhann Jóhannsson,no
2014 (87th),MUSIC (Original Song),"Everything Is Awesome" from The Lego Movie,Music and Lyric by Shawn Patterson,no
2014 (87th),MUSIC (Original Song),"Glory" from Selma,Music and Lyric by John Stephens and Lonnie Lynn,yes
2014 (87th),MUSIC (Original Song),"Grateful" from Beyond the Lights,Music and Lyric by Diane Warren,no
2014 (87th),MUSIC (Original Song),"I'm Not Gonna Miss You" from Glen Campbell...I'll Be Me,Music and Lyric by Glen Campbell and Julian Raymond,no
2014 (87th),MUSIC (Original Song),"Lost Stars" from Begin Again,Music and Lyric by Gregg Alexander and Danielle Brisebois,no
2014 (87th),BEST PICTURE,American Sniper,Clint Eastwood; Robert Lorenz; Andrew Lazar; Bradley Cooper and Peter Morgan; Producers,no
2014 (87th),BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),Alejandro G. Iñárritu; John Lesher and James W. Skotchdopole; Producers,yes
2014 (87th),BEST PICTURE,Boyhood,Richard Linklater and Cathleen Sutherland; Producers,no
2014 (87th),BEST PICTURE,The Grand Budapest Hotel,Wes Anderson; Scott Rudin; Steven Rales and Jeremy Dawson; Producers,no
2014 (87th),BEST PICTURE,The Imitation Game,Nora Grossman; Ido Ostrowsky and Teddy Schwarzman; Producers,no
2014 (87th),BEST PICTURE,Selma,Christian Colson; Oprah Winfrey; Dede Gardner and Jeremy Kleiner; Producers,no
2014 (87th),BEST PICTURE,The Theory of Everything,Tim Bevan; Eric Fellner; Lisa Bruce and Anthony McCarten; Producers,no
2014 (87th),BEST PICTURE,Whiplash,Jason Blum; Helen Estabrook and David Lancaster; Producers,no
2014 (87th),PRODUCTION DESIGN,The Grand Budapest Hotel,Production Design: Adam Stockhausen; Set Decoration: Anna Pinnock,yes
2014 (87th),PRODUCTION DESIGN,The Imitation Game,Production Design: Maria Djurkovic; Set Decoration: Tatiana Macdonald,no
2014 (87th),PRODUCTION DESIGN,Interstellar,Production Design: Nathan Crowley; Set Decoration: Gary Fettis,no
2014 (87th),PRODUCTION DESIGN,Into the Woods,Production Design: Dennis Gassner; Set Decoration: Anna Pinnock,no
2014 (87th),PRODUCTION DESIGN,Mr. Turner,Production Design: Suzie Davies; Set Decoration: Charlotte Watts,no
2014 (87th),SHORT FILM (Animated),The Bigger Picture,Daisy Jacobs and Christopher Hees,no
2014 (87th),SHORT FILM (Animated),The Dam Keeper,Robert Kondo and Dice Tsutsumi,no
2014 (87th),SHORT FILM (Animated),Feast,Patrick Osborne and Kristina Reed,yes
2014 (87th),SHORT FILM (Animated),Me and My Moulton,Torill Kove,no
2014 (87th),SHORT FILM (Animated),A Single Life,Joris Oprins,no
2014 (87th),SHORT FILM (Live Action),Aya,Oded Binnun and Mihal Brezis,no
2014 (87th),SHORT FILM (Live Action),Boogaloo and Graham,Michael Lennox and Ronan Blaney,no
2014 (87th),SHORT FILM (Live Action),Butter Lamp (La Lampe Au Beurre De Yak),Hu Wei and Julien Féret,no
2014 (87th),SHORT FILM (Live Action),Parvaneh,Talkhon Hamzavi and Stefan Eichenberger,no
2014 (87th),SHORT FILM (Live Action),The Phone Call,Mat Kirkby and James Lucas,yes
2014 (87th),SOUND EDITING,American Sniper,Alan Robert Murray and Bub Asman,yes
2014 (87th),SOUND EDITING,Birdman or (The Unexpected Virtue of Ignorance),Martín Hernández and Aaron Glascock,no
2014 (87th),SOUND EDITING,The Hobbit: The Battle of the Five Armies,Brent Burge and Jason Canovas,no
2014 (87th),SOUND EDITING,Interstellar,Richard King,no
2014 (87th),SOUND EDITING,Unbroken,Becky Sullivan and Andrew DeCristofaro,no
2014 (87th),SOUND MIXING,American Sniper,John Reitz; Gregg Rudloff and Walt Martin,no
2014 (87th),SOUND MIXING,Birdman or (The Unexpected Virtue of Ignorance),Jon Taylor; Frank A. Montaño and Thomas Varga,no
2014 (87th),SOUND MIXING,Interstellar,Gary A. Rizzo; Gregg Landaker and Mark Weingarten,no
2014 (87th),SOUND MIXING,Unbroken,Jon Taylor; Frank A. Montaño and David Lee,no
2014 (87th),SOUND MIXING,Whiplash,Craig Mann; Ben Wilkins and Thomas Curley,yes
2014 (87th),VISUAL EFFECTS,Captain America: The Winter Soldier,Dan DeLeeuw; Russell Earl; Bryan Grill and Dan Sudick,no
2014 (87th),VISUAL EFFECTS,Dawn of the Planet of the Apes,Joe Letteri; Dan Lemmon; Daniel Barrett and Erik Winquist,no
2014 (87th),VISUAL EFFECTS,Guardians of the Galaxy,Stephane Ceretti; Nicolas Aithadi; Jonathan Fawkner and Paul Corbould,no
2014 (87th),VISUAL EFFECTS,Interstellar,Paul Franklin; Andrew Lockley; Ian Hunter and Scott Fisher,yes
2014 (87th),VISUAL EFFECTS,X-Men: Days of Future Past,Richard Stammers; Lou Pecora; Tim Crosbie and Cameron Waldbauer,no
2014 (87th),WRITING (Adapted Screenplay),American Sniper,Written by Jason Hall,no
2014 (87th),WRITING (Adapted Screenplay),The Imitation Game,Written by Graham Moore,yes
2014 (87th),WRITING (Adapted Screenplay),Inherent Vice,Written for the screen by Paul Thomas Anderson,no
2014 (87th),WRITING (Adapted Screenplay),The Theory of Everything,Screenplay by Anthony McCarten,no
2014 (87th),WRITING (Adapted Screenplay),Whiplash,Written by Damien Chazelle,no
2014 (87th),WRITING (Original Screenplay),Birdman or (The Unexpected Virtue of Ignorance),Written by Alejandro G. Iñárritu; Nicolás Giacobone; Alexander Dinelaris; Jr. & Armando Bo,yes
2014 (87th),WRITING (Original Screenplay),Boyhood,Written by Richard Linklater,no
2014 (87th),WRITING (Original Screenplay),Foxcatcher,Written by E. Max Frye and Dan Futterman,no
2014 (87th),WRITING (Original Screenplay),The Grand Budapest Hotel,Screenplay by Wes Anderson; Story by Wes Anderson & Hugo Guinness,no
2014 (87th),WRITING (Original Screenplay),Nightcrawler,Written by Dan Gilroy,no
2014 (87th),JEAN HERSHOLT HUMANITARIAN AWARD,Harry Belafonte,NA,yes
2014 (87th),HONORARY AWARD,To Jean-Claude Carrière; whose elegantly crafted screenplays elevate the art of screenwriting to the level of literature.,NA,yes
2014 (87th),HONORARY AWARD,To Hayao Miyazaki; a master storyteller whose animated artistry has inspired filmmakers and audiences around the world.,NA,yes
2014 (87th),HONORARY AWARD,To Maureen O'Hara; one of Hollywood's brightest stars; whose inspiring performances glowed with passion; warmth and strength.,NA,yes
2014 (87th),GORDON E. SAWYER AWARD,David Winchester Gray,NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Academy Award of Merit),To DR. LARRY HORNBECK for the invention of digital micromirror technology as used in DLP Cinema projection. The Digital Micromirror Device (DMD) is the core technology that has enabled Texas Instruments' DLP Cinema projection to become the standard of the motion picture industry. [Digital Apparatuses Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To IAIN NEIL for the optical design; and to ANDRÉ DE WINTER for the mechanical design; of the Leica Summilux-C series of lenses. Incorporating novel telecentric multi-element aspherical optics; these camera lenses have delivered unprecedented optical and mechanical performance. [Lenses and Filters],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To BRAD WALKER; D. SCOTT DEWALD; BILL WERNER; GREG PETTITT and FRANK PORADISH for their contributions furthering the design and refinement of the Texas Instruments DLP Cinema projection technology; whose high level of performance enabled color-accurate digital intermediate preview and motion picture theatrical presentation. Working in conjunction with the film industry; Texas Instruments created a high-resolution; high-quality digital projection system that has replaced most film-based projection systems in the theatrical environment. [Digital Apparatuses Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To ICHIRO TSUTSUI; MASAHIRO TAKE; MITSUYASU TAMURA and MITSURU ASANO for the development of the Sony BVM-E Series Professional OLED Master Monitor. These precise; wide-gamut monitors allow creative image decisions to be made on set with confidence that the desired images can be accurately reproduced in post-production. [Digital Apparatuses Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award),To JOHN FREDERICK; BOB MYERS; KARL RASCHE and TOM LIANZA for the development of the HP DreamColor LP2480zx Professional Display. This cost-effective display offered a stable; wide color gamut; allowing facility-wide adoption in feature animation and visual effects studios. [Digital Apparatuses Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To PETER BRAUN for the concept and development of the MAT-Towercam Twin Peek; a portable; remote-controlled; telescoping column that smoothly positions a camera up to 24 feet vertically. This small cross-section system from Mad About Technology can operate from above or below the camera; achieving nearly impossible shots with repeatable movements through openings no larger than the camera itself. [Camera Cranes],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To ROBERT NAGLE and ALLAN PADELFORD for The Biscuit Jr. self-propelled; high-performance; drivable camera and vehicle platform. The Biscuit Jr.'s unique chassis and portable driver pod enables traveling photography from a greater range of camera positions than previously possible; while keeping actors safe and the rig out of frame. [Camera Cranes],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To HAROLD MILLIGAN; STEVEN KRYCHO and REINER DOETZKIES for the implementation engineering in the development of the Texas Instruments DLP Cinema digital projection technology. Texas Instruments' color-accurate; high-resolution; high-quality digital projection system has replaced most film-based projection systems in the theatrical environment. [Digital Apparatuses Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To CARY PHILLIPS; NICOLAS POPRAVKA; PHILIP PETERSON and COLETTE MULLENHOFF for the architecture; development and creation of the artist-driven interface of the ILM Shape Sculpting System. This comprehensive system allows artists to quickly enhance and modify character animation and simulation performances. It has become a crucial part of ILM's production workflow over the past decade. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To TIM COTTER; ROGER VAN DER LAAN; KEN PEARCE and GREG LaSALLE for the innovative design and development of the MOVA Facial Performance Capture system. The MOVA system provides a robust way to capture highly detailed; topologically consistent; animated meshes of a deforming object. This technology is fundamental to the facial pipeline at many visual effects companies. It allows artists to create character animation of extremely high quality. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To DAN PIPONI; KIM LIBRERI and GEORGE BORSHUKOV for their pioneering work in the development of Universal Capture at ESC Entertainment. The Universal Capture system broke new ground in the creation of realistic human facial animation. This technology produced an animated; high-resolution; textured mesh driven by an actor's performance. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To MARCO REVELANT for the original concepts and artistic vision; and to ALASDAIR COULL and SHANE COOPER for the original architectural and engineering design; of the Barbershop hair grooming system at Weta Digital. Barbershop's unique architecture allows direct manipulation of full-density hair using an intuitive; interactive and procedural toolset; resulting in greatly enhanced productivity with finer-grained artistic control than is possible with other existing systems. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To MICHAEL SECHREST for the modeling design and implementation; CHRIS KING for the real-time interactive engineering; and GREG CROFT for the user interface design and implementation of SpeedTree Cinema. This software substantially improves an artist's ability to create specifically designed trees and vegetation by combining a procedural building process with the flexibility of intuitive; direct manipulation of every detail. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To SCOTT PETERSON; JEFF BUDSBERG and JONATHAN GIBBS for the design and implementation of the DreamWorks Animation Foliage System. This toolset has a hierarchical spline system; a core data format and an artist-driven modeling tool; which have been instrumental in creating art-directed vegetation in animated films for nearly two decades. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To ERWIN COUMANS for the development of the Bullet physics library; and to NAFEES BIN ZAFAR and STEPHEN MARSHALL for the separate development of two large-scale destruction simulation systems based on Bullet. These pioneering systems demonstrated that large numbers of constrained rigid bodies could be used to animate visually complex; believable destruction effects with minimal simulation time. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To BRICE CRISWELL and RON FEDKIW for the development of the ILM PhysBAM Destruction System. This system incorporates innovative research on many algorithms that provide accurate methods for resolving contact; collision and stacking into a mature; robust and extensible production toolset. The PhysBAM Destruction System was one of the earliest toolsets capable of depicting large-scale destruction with a high degree of design control. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To BEN COLE for the design of the Kali Destruction System; to ERIC PARKER for the development of the Digital Molecular Matter toolkit; and to JAMES O'BRIEN for his influential research on the finite element methods that served as a foundation for these tools. The combined innovations in Kali and DMM provide artists with an intuitive; art-directable system for the creation of scalable and realistic fracture and deformation simulations. These tools established finite element methods as a new reference point for believable on-screen destruction. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To MAGNUS WRENNINGE for leading the design and development of Field3D. Field3D provides a flexible and open framework for storing and accessing voxel data efficiently. This allows interchange between previously incompatible modeling; simulation and rendering software. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To ROBERT BRIDSON for early conceptualization of sparse-tiled voxel data structures and their application to modeling and simulation. Robert Bridson's pioneering work on voxel data structures and its subsequent validation in fluid simulation tools have had a significant impact on the design of volumetric tools throughout the visual effects industry. [Digital Imaging Technology],NA,yes
2014 (87th),SCIENTIFIC AND TECHNICAL AWARD (Technical Achievement Award),To KEN MUSETH; PETER CUCKA and MIHAI ALDÉN for the creation of OpenVDB. OpenVDB is a widely adopted; sparse hierarchical data structure that provides a fast and efficient mechanism for storing and manipulating voxels. [Digital Imaging Technology],NA,yes
2014 (87th),AWARD OF COMMENDATION,To Steven Tiffen; Jeff Cohen and Michael Fecik for their pioneering work in developing dye-based filters that reduce IR contamination when neutral density filters are used with digital cameras. The Tiffen Company identified the problem and rapidly engineered a series of absorptive filters that ameliorated infrared artifacts with lenses of all focal lengths. These widely adopted filters allow cinematographers to work as they have done with film-based technology.,NA,yes
