"","Film","Production_Company","Producers","Year","Best_Pic_Oscar","Editor","Edit_Oscar"
"116","The English Patient","Miramax, Tiger Moth Productions","Saul Zaentz",1996,"t","Walter Murch","t"
"117","Fargo","PolyGram","Ethan Coen",1996,"f","Roderick Jaynes","f"
"118","Jerry Maguire","TriStar, Gracie Films","James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",1996,"f","Joe Hutshing","f"
"119","Secrets & Lies","October, Thin Man Films","Simon Channing-Williams",1996,"f",NA,NA
"120","Shine","FineLine Features, Momentum Films","Jane Scott",1996,"f","Pip Karmel","f"
"121","Braveheart","Paramount, 20th Century Fox, Icon","Mel Gibson, Alan Ladd, Jr., and Bruce Davey",1995,"t","Steven Rosenblum","f"
"122","Apollo 13","Universal, Imagine Entertainment","Brian Grazer",1995,"f","Mike Hill and Daniel P. Hanley","t"
"123","Babe","Universal, Kennedy Miller Productions","Bill Miller, George Miller, and Doug Mitchell",1995,"f","Marcus D'Arcy and Jay Friedkin","f"
"124","Il Postino: The Postman[K]","Miramax, Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film","Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",1995,"f",NA,NA
"125","Sense and Sensibility","Columbia, Mirage","Lindsay Doran",1995,"f",NA,NA
"126","Forrest Gump","Paramount","Wendy Finerman, Steve Tisch, and Steve Starkey",1994,"t","Arthur Schmidt","t"
"127","Four Weddings and a Funeral","PolyGram, Working Title","Duncan Kenworthy",1994,"f",NA,NA
"128","Pulp Fiction","Miramax","Lawrence Bender",1994,"f","Sally Menke","f"
"129","Quiz Show","Hollywood","Michael Jacobs, Julian Krainin, Michael Nozik, and Robert Redford",1994,"f",NA,NA
"130","The Shawshank Redemption","Columbia, Castle Rock Entertainment","Niki Marvin",1994,"f","Richard Francis-Bruce","f"
"131","Schindler's List","Universal, Amblin Entertainment","Steven Spielberg, Gerald R. Molen, and Branko Lustig",1993,"t","Michael Kahn","t"
"132","The Fugitive","Warner Bros.","Arnold Kopelson",1993,"f","Dennis Virkler, David Finfer, Dean Goodhill, Don Brochu, Richard Nord, and Dov Hoenig","f"
"133","In the Name of the Father","Universal, Hell's Kitchen","Jim Sheridan",1993,"f","Gerry Hambling","f"
"134","The Piano","Miramax, Jan Chapman Productions","Jan Chapman",1993,"f","Veronika Jenet","f"
"135","The Remains of the Day","Columbia, Merchant Ivory","Mike Nichols, John Calley, and Ismail Merchant",1993,"f",NA,NA
"136","Unforgiven","Warner Bros., Malpaso","Clint Eastwood",1992,"t","Joel Cox","t"
"137","The Crying Game","Miramax, Palace Pictures","Stephen Woolley",1992,"f","Kant Pan","f"
"138","A Few Good Men","Columbia, Castle Rock Entertainment","David Brown, Rob Reiner, and Andrew Scheinman",1992,"f","Robert Leighton","f"
"139","Howards End","Sony Pictures Classics, Merchant Ivory","Ismail Merchant",1992,"f",NA,NA
"140","Scent of a Woman","Universal","Martin Brest",1992,"f",NA,NA
"141","The Silence of the Lambs","Orion","Edward Saxon, Kenneth Utt, and Ron Bozman",1991,"t","Craig McKay","f"
"142","Beauty and the Beast","Disney","Don Hahn",1991,"f",NA,NA
"143","Bugsy","TriStar, Mulholland Productions, Baltimore Pictures","Mark Johnson, Barry Levinson, and Warren Beatty",1991,"f",NA,NA
"144","JFK","Warner Bros., Regency Enterprises","A. Kitman Ho and Oliver Stone",1991,"f","Joe Hutshing and Pietro Scalia","t"
"145","The Prince of Tides","Columbia","Barbra Streisand and Andrew S. Karsch",1991,"f",NA,NA
"146","Dances with Wolves","Orion, TIG Productions","Jim Wilson and Kevin Costner",1990,"t","Neil Travis","t"
"147","Awakenings","Columbia","Walter F. Parkes and Lawrence Lasker",1990,"f",NA,NA
"148","Ghost","Paramount","Lisa Weinstein",1990,"f","Walter Murch","f"
"149","The Godfather Part III","Paramount, American Zoetrope","Francis Ford Coppola",1990,"f","Barry Malkin, Lisa Fruchtman, and Walter Murch","f"
"150","Goodfellas","Warner Bros.","Irwin Winkler",1990,"f","Thelma Schoonmaker","f"
"151","Driving Miss Daisy","Warner Bros.","Richard D. Zanuck, Lili Fini Zanuck",1989,"t","Mark Warner","f"
"152","Born on the Fourth of July","Universal","A. Kitman Ho, Oliver Stone",1989,"f","David Brenner, Joe Hutshing","t"
"153","Dead Poets Society","Touchstone","Steven Haft, Paul Junger Witt, Tony Thomas",1989,"f",NA,NA
"154","Field of Dreams","Universal","Lawrence Gordon, Charles Gordon",1989,"f",NA,NA
"155","My Left Foot","Miramax, Ferndale Films, Granada Television International","Noel Pearson",1989,"f",NA,NA
"156","Rain Man","United Artists","Mark Johnson",1988,"t","Stu Linder","f"
"157","The Accidental Tourist","Warner Bros.","Lawrence Kasdan, Charles Okun, Michael Grillo",1988,"f",NA,NA
"158","Dangerous Liaisons","Warner Bros., Lorimar, N.F.H. Productions","Norma Heyman, Hank Moonjean",1988,"f",NA,NA
"159","Mississippi Burning","Orion","Frederick Zollo, Robert F. Colesberry",1988,"f","Gerry Hambling","f"
"160","Working Girl","20th Century Fox","Douglas Wick",1988,"f",NA,NA
"161","The Last Emperor[O]","Columbia, Recorded Picture Company, Yanco Films, TAO Films, AAA, Soprofilms","Jeremy Thomas",1987,"t",NA,NA
"162","Broadcast News","20th Century Fox","James L. Brooks",1987,"f","Richard Marks","f"
"163","Fatal Attraction","Paramount","Stanley R. Jaffe, Sherry Lansing",1987,"f","Michael Kahn, Peter E. Berger","f"
"164","Hope and Glory","Columbia, Goldcrest Films, Nelson Entertainment","John Boorman",1987,"f",NA,NA
"165","Moonstruck","Metro-Goldwyn-Mayer","Patrick J. Palmer, Norman Jewison",1987,"f",NA,NA
"166","Platoon","Orion, Hemdale","Arnold Kopelson",1986,"t","Claire Simpson","t"
"167","Children of a Lesser God","Paramount","Burt Sugarman, Patrick J. Palmer",1986,"f",NA,NA
"168","Hannah and Her Sisters","Orion","Robert Greenhut",1986,"f","Susan E. Morse","f"
"169","The Mission","Warner Bros., Enigma Film Productions, Goldcrest Films, Kingsmere","Fernando Ghia, David Puttnam",1986,"f","Jim Clark","f"
"170","A Room with a View","Merchant Ivory","Ismail Merchant",1986,"f",NA,NA
"171","Out of Africa","Universal, Mirage Enterprises","Sydney Pollack",1985,"t","Fredric Steinkamp, William Steinkamp, Pembroke Herring, Sheldon Kahn","f"
"172","The Color Purple","Warner Bros., Amblin Entertainment","Steven Spielberg, Kathleen Kennedy, Frank Marshall, Quincy Jones",1985,"f",NA,NA
"173","Kiss of the Spider Woman","Island Alive, FilmDallas Pictures, HB Filmes","David Weisman",1985,"f",NA,NA
"174","Prizzi's Honor","20th Century Fox, ABC Motion Pictures","John Foreman",1985,"f","Rudi Fehr, Kaja Fehr","f"
"175","Witness","Paramount","Edward S. Feldman",1985,"f","Thom Noble","t"
"176","Amadeus","Orion","Saul Zaentz",1984,"t","Nena Danevic, Michael Chandler","f"
"177","The Killing Fields","Warner Bros., Enigma Film Productions","David Puttnam",1984,"f","Jim Clark","t"
"178","A Passage to India","Columbia, G.W. Films, Thorn EMI","John Brabourne, Richard Goodwin",1984,"f","David Lean","f"
"179","Places in the Heart","Tri-Star","Arlene Donovan",1984,"f",NA,NA
"180","A Soldier's Story","Columbia","Norman Jewison, Ronald L. Schwary, Patrick Palmer",1984,"f",NA,NA
"181","Terms of Endearment","Paramount","James L. Brooks",1983,"t","Richard Marks","f"
"182","The Big Chill","Columbia","Michael Shamberg",1983,"f",NA,NA
"183","The Dresser","Columbia, Goldcrest, World Film Services","Peter Yates",1983,"f",NA,NA
"184","The Right Stuff","Warner Bros., The Ladd Company","Irwin Winkler, Robert Chartoff",1983,"f","Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf","t"
"185","Tender Mercies","Universal, EMI","Philip S. Hobel",1983,"f",NA,NA
"186","Gandhi","Columbia","Richard Attenborough",1982,"t","John Bloom","t"
"187","E.T. the Extra-Terrestrial","Universal, Amblin Entertainment","Steven Spielberg, Kathleen Kennedy[M]",1982,"f","Carol Littleton","f"
"188","Missing","Universal","Edward Lewis, Mildred Lewis",1982,"f",NA,NA
"189","Tootsie","Columbia","Sydney Pollack, Dick Richards",1982,"f","Fredric Steinkamp, William Steinkamp","f"
"190","The Verdict","20th Century Fox","Richard D. Zanuck, David Brown",1982,"f",NA,NA
"191","Chariots of Fire","Warner Bros., Enigma Film Productions","David Puttnam",1981,"t","Terry Rawlings","f"
"192","Atlantic City","Paramount, Cine-Neighbor, Selta Films","Denis Héroux",1981,"f",NA,NA
"193","On Golden Pond","ITC, Universal","Bruce Gilbert",1981,"f","Robert L. Wolfe (posthumous nomination)","f"
"194","Raiders of the Lost Ark","Lucasfilm, Paramount","Frank Marshall",1981,"f","Michael Kahn","t"
"195","Reds","Paramount","Warren Beatty",1981,"f","Dede Allen, Craig McKay","f"
"196","Ordinary People","Paramount","Ronald L. Schwary",1980,"t",NA,NA
"197","Coal Miner's Daughter","Universal","Bernard Schwartz",1980,"f","Arthur Schmidt","f"
"198","The Elephant Man","Paramount, Brooksfilms","Jonathan Sanger",1980,"f","Anne V. Coates","f"
"199","Raging Bull","United Artists","Irwin Winkler, Robert Chartoff",1980,"f","Thelma Schoonmaker","t"
"200","Tess","Renn Productions, Timothy Burrill Productions","Claude Berri, Timothy Burrill",1980,"f",NA,NA
"201","Kramer vs. Kramer","Columbia","Stanley R. Jaffe",1979,"t","Gerald B. Greenberg","f"
"202","All That Jazz","20th Century Fox, Columbia","Robert Alan Aurthur",1979,"f","Alan Heim","t"
"203","Apocalypse Now","United Artists, Zoetrope","Francis Ford Coppola, Fred Roos, Gray Frederickson, Tom Sternberg",1979,"f","Richard Marks, Walter Murch, Gerald B. Greenberg, Lisa Fruchtman","f"
"204","Breaking Away","20th Century Fox","Peter Yates",1979,"f",NA,NA
"205","Norma Rae","20th Century Fox","Tamara Asseyev, Alex Rose",1979,"f",NA,NA
"206","The Deer Hunter","Universal, EMI","Barry Spikings, Michael Deeley, Michael Cimino, John Peverall",1978,"t","Peter Zinner","t"
"207","Coming Home","United Artists","Jerome Hellman",1978,"f","Don Zimmerman","f"
"208","Heaven Can Wait","Paramount","Warren Beatty",1978,"f",NA,NA
"209","Midnight Express","Columbia","Alan Marshall, David Puttnam",1978,"f","Gerry Hambling","f"
"210","An Unmarried Woman","20th Century Fox, Casablanca Filmworks","Paul Mazursky, Tony Ray",1978,"f",NA,NA
"211","Annie Hall","United Artists","Charles H. Joffe",1977,"t",NA,NA
"212","The Goodbye Girl","Metro-Goldwyn-Mayer, Warner Bros.","Ray Stark",1977,"f",NA,NA
"213","Julia","20th Century Fox","(Richard Roth)",1977,"f","Walter Murch","f"
"214","Star Wars","Lucasfilm, 20th Century Fox","Gary Kurtz",1977,"f","Paul Hirsch, Marcia Lucas, Richard Chew","t"
"215","The Turning Point","20th Century Fox","Herbert Ross, Arthur Laurents",1977,"f","William H. Reynolds","f"
"216","Rocky","United Artists","Irwin Winkler, Robert Chartoff",1976,"t","Richard Halsey, Scott Conrad","t"
"217","All the President's Men","Warner Bros.","Walter Coblenz",1976,"f","Robert L. Wolfe","f"
"218","Bound for Glory","United Artists","Robert F. Blumofe, Harold Leventhal",1976,"f","Robert C. Jones, Pembroke J. Herring","f"
"219","Network","Metro-Goldwyn-Mayer, United Artists","Howard Gottfried",1976,"f","Alan Heim","f"
"220","Taxi Driver","Columbia","Michael Phillips, Julia Phillips",1976,"f",NA,NA
"221","One Flew Over the Cuckoo's Nest","United Artists","Saul Zaentz[N], Michael Douglas",1975,"t","Richard Chew, Lynzee Klingman, Sheldon Kahn","f"
"222","Barry Lyndon","Warner Bros., Peregrine Productions, Hawk Films","Stanley Kubrick",1975,"f",NA,NA
"223","Dog Day Afternoon","Warner Bros.","Martin Bregman, Martin Elfand",1975,"f","Dede Allen","f"
"224","Jaws","Universal","Richard D. Zanuck and David Brown",1975,"f","Verna Fields","t"
"225","Nashville","Paramount","Robert Altman",1975,"f",NA,NA
"226","The Godfather Part II [O]","Paramount","Francis Ford Coppola, Gray Frederickson, Fred Roos",1974,"t",NA,NA
"227","Chinatown","Paramount","Robert Evans",1974,"f","Sam O'Steen","f"
"228","The Conversation","Paramount, Coppola Co.","Francis Ford Coppola",1974,"f",NA,NA
"229","Lenny","United Artists","Marvin Worth",1974,"f",NA,NA
"230","The Towering Inferno","20th Century Fox, Warner Bros.","Irwin Allen",1974,"f","Harold F. Kress, Carl Kress","t"
"231","The Sting","Universal","Tony Bill, Michael Phillips, Julia Phillips",1973,"t","William H. Reynolds","t"
"232","American Graffiti","Lucasfilm, Universal, Coppola Co.","Francis Ford Coppola, Gary Kurtz",1973,"f","Verna Fields, Marcia Lucas","f"
"233","Cries and Whispers[K]","Cinematograph, Svenska Filminstitutet","Ingmar Bergman",1973,"f",NA,NA
"234","The Exorcist","Warner Bros.","William Peter Blatty",1973,"f","Jordan Leondopoulos, Bud Smith, Evan Lottman, Norman Gay","f"
"235","A Touch of Class","Avco Embassy, Gordon Film Productions","Melvin Frank",1973,"f",NA,NA
"236","The Godfather","Paramount","Albert S. Ruddy",1972,"t","William H. Reynolds, Peter Zinner","f"
"237","Cabaret","Allied Artists, ABC Pictures","Cy Feuer",1972,"f","David Bretherton","t"
"238","Deliverance","Warner Bros.","John Boorman",1972,"f","Tom Priestley","f"
"239","The Emigrants[K]","Warner Bros., Svensk Filmindustri","Bengt Forslund",1972,"f",NA,NA
"240","Sounder","20th Century Fox","Robert B. Radnitz",1972,"f",NA,NA
"241","The French Connection","20th Century Fox","Philip D'Antoni",1971,"t","Gerald B. Greenberg","t"
"242","A Clockwork Orange","Warner Bros.","Stanley Kubrick",1971,"f","Bill Butler","f"
"243","Fiddler on the Roof","United Artists","Norman Jewison",1971,"f",NA,NA
"244","The Last Picture Show","Columbia","Stephen J. Friedman",1971,"f",NA,NA
"245","Nicholas and Alexandra","Columbia","Sam Spiegel",1971,"f",NA,NA
"246","Patton","20th Century Fox","Frank McCarthy",1970,"t","Hugh S. Fowler","t"
"247","Airport","Universal","Ross Hunter",1970,"f","Stuart Gilmore","f"
"248","Five Easy Pieces","Columbia","Bob Rafelson, Richard Wechsler",1970,"f",NA,NA
"249","Love Story","Paramount","Howard G. Minsky",1970,"f",NA,NA
"250","MASH","20th Century Fox","Ingo Preminger",1970,"f","Danford B. Greene","f"
"251","Midnight Cowboy","United Artists","Jerome Hellman",1969,"t","Hugh A. Robertson","f"
"252","Anne of the Thousand Days","Universal","Hal B. Wallis",1969,"f",NA,NA
"253","Butch Cassidy and the Sundance Kid","20th Century Fox","John Foreman",1969,"f",NA,NA
"254","Hello, Dolly!","20th Century Fox","Ernest Lehman",1969,"f","William H. Reynolds","f"
"255","Z[K]","O.N.C.I.C., Cinema V","Jacques Perrin, Ahmed Rachedi",1969,"f",NA,NA
"256","Oliver!","Columbia, Romulus Films, Warwick Film Productions","John Woolf",1968,"t","Ralph Kemplen","f"
"257","Funny Girl","Columbia","Ray Stark",1968,"f","Robert Swink, Maury Winetrobe, William Sands","f"
"258","The Lion in Winter","Embassy, Haworth Productions","Martin Poll",1968,"f",NA,NA
"259","Rachel, Rachel","Warner Bros.","Paul Newman",1968,"f",NA,NA
"260","Romeo and Juliet","Paramount, B.H.E. Productions, Verona Produzione, Dino De Laurentiis","Anthony Havelock-Allan, John Brabourne",1968,"f",NA,NA
"261","In the Heat of the Night","United Artists","Walter Mirisch",1967,"t","Hal Ashby","t"
"262","Bonnie and Clyde","Warner Bros., Seven Arts","Warren Beatty",1967,"f",NA,NA
"263","Doctor Dolittle","20th Century Fox","Arthur P. Jacobs",1967,"f","Samuel E. Beetley, Marjorie Fowler","f"
"264","The Graduate","Embassy","Lawrence Turman",1967,"f",NA,NA
"265","Guess Who's Coming to Dinner","Columbia","Stanley Kramer",1967,"f","Robert C. Jones","f"
"266","A Man for All Seasons","Columbia, Highland Films","Fred Zinnemann",1966,"t",NA,NA
"267","Alfie","Paramount","Lewis Gilbert",1966,"f",NA,NA
"268","The Russians Are Coming, the Russians Are Coming","United Artists, Sheldrake Films","Norman Jewison",1966,"f",NA,NA
"269","The Sand Pebbles","20th Century Fox","Robert Wise",1966,"f","William H. Reynolds","f"
"270","Who's Afraid of Virginia Woolf?","Warner Bros.","Ernest Lehman",1966,"f","Sam O'Steen","f"
"271","The Sound of Music","20th Century Fox","Robert Wise",1965,"t","William H. Reynolds","t"
"272","Darling","Embassy","Joseph Janni",1965,"f",NA,NA
"273","Doctor Zhivago","Metro-Goldwyn-Mayer, Vic Films, Appia Films","Carlo Ponti",1965,"f","Norman Savage","f"
"274","Ship of Fools","Columbia","Stanley Kramer",1965,"f",NA,NA
"275","A Thousand Clowns","United Artists","Fred Coe",1965,"f",NA,NA
"276","My Fair Lady","Warner Bros.","Jack L. Warner",1964,"t","William H. Ziegler","f"
"277","Becket","Paramount","Hal B. Wallis",1964,"f","Anne V. Coates","f"
"278","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Columbia","Stanley Kubrick",1964,"f",NA,NA
"279","Mary Poppins","Disney","Walt Disney, Bill Walsh",1964,"f","Cotton Warburton","t"
"280","Zorba the Greek","20th Century Fox","Michael Cacoyannis",1964,"f",NA,NA
"281","Tom Jones","United Artists, Woodfall Films","Tony Richardson",1963,"t",NA,NA
"282","America, America","Warner Bros.","Elia Kazan",1963,"f",NA,NA
"283","Cleopatra","20th Century Fox","Walter Wanger",1963,"f","Dorothy Spencer","f"
"284","How the West Was Won","Metro-Goldwyn-Mayer, Cinerama","Bernard Smith",1963,"f","Harold F. Kress","t"
"285","Lilies of the Field","United Artists","Ralph Nelson",1963,"f",NA,NA
"286","Lawrence of Arabia","Columbia","Sam Spiegel",1962,"t","Anne V. Coates","t"
"287","The Longest Day","20th Century Fox","Darryl F. Zanuck",1962,"f","Samuel E. Beetley","f"
